PWY0-1514;NarQ Two-Component Signal Transduction System, nitrate dependent;narL narQ narP;EG10643 EG11460 EG11527
PWY0-43;conversion of succinate to propanoate;scpC scpB scpA;G7517 G7516 EG11444
PWY0-1485;CpxAR Two-Component Signal Transduction System;cpxA cpxR;EG10163 EG10020
DENOVOPURINE2-PWY;superpathway of purine nucleotides <i>de novo</i> biosynthesis II;nrdH trxA trxC nrdD ndk nrdF nrdE nrdB nrdA adk purB purA gmk guaA guaB purK purE purH purC purT purM purL purD purF;G7401 EG11031 EG11887 EG11417 EG10650 EG12381 EG20257 EG10661 EG10660 EG10032 EG11314 EG10790 EG10965 EG10420 EG10421 EG10796 EG10793 EG10795 EG10791 EG11809 EG10798 EG10797 EG10792 EG10794
PWY-6961;L-ascorbate degradation II (bacterial, aerobic);sgbE sgbU sgbH yiaK lyxK;EG12287 EG12286 EG12285 EG12279 EG12284
PWY-6125;superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II;nrdH trxA trxC adk ndk nrdF nrdE nrdD nrdB nrdA gmk guaA guaB;G7401 EG11031 EG11887 EG10032 EG10650 EG12381 EG20257 EG11417 EG10661 EG10660 EG10965 EG10420 EG10421
PWY0-1506;TorTSR Signal Transduction System, TMAO dependent;torS torR;G6514 EG12615
PWY-6126;superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II;nrdH trxA trxC nrdD ndk nrdF nrdE nrdB nrdA adk purB purA;G7401 EG11031 EG11887 EG11417 EG10650 EG12381 EG20257 EG10661 EG10660 EG10032 EG11314 EG10790
PWY0-301;L-ascorbate degradation I (bacterial, anaerobic);ulaG ulaF ulaD ulaE;G7855 G7860 G7858 G7859
PWY0-1468;DcuSR Two-Component Signal Transduction System, dicarboxylate-dependent;dcuS dcuR;G7827 G7826
PWY0-1481;BaeSR Two-Component Signal Transduction System;baeS baeR;EG11617 EG11618
BETSYN-PWY;glycine betaine biosynthesis I (Gram-negative bacteria);betB betA;EG10110 EG10109
PWY0-1501;BarA UvrY Two-Component Signal Transduction System;barA uvrY;EG11367 EG11140
POLYAMSYN-PWY;superpathway of polyamine biosynthesis I;ldcC cadA speE speD speF speC speB adiA speA;G6094 EG10131 EG10963 EG10962 EG10964 EG10961 EG10960 EG11501 EG10959
PWY0-1299;arginine dependent acid resistance;adiA;EG11501
PWY-4121;glutathionylspermidine biosynthesis;gss;EG12882
PWY0-1305;L-glutamate degradation IX (via 4-aminobutanoate);gadB gadA;EG11490 EG50009
PWY0-1303;aminopropylcadaverine biosynthesis;ldcC cadA speE;G6094 EG10131 EG10963
PWY0-1601;cadaverine biosynthesis;ldcC cadA;G6094 EG10131
ARG+POLYAMINE-SYN;superpathway of arginine and polyamine biosynthesis;argE gabT astC argD argC argB argA carA carB argF argI argH argG ldcC cadA speE speD speF speC speB adiA speA;EG11286 EG10361 G6944 EG10066 EG10065 EG10064 EG10063 EG10134 EG10135 EG10067 EG10069 EG11223 EG10068 G6094 EG10131 EG10963 EG10962 EG10964 EG10961 EG10960 EG11501 EG10959
CYANCAT-PWY;cyanate degradation;cynS cynT;EG10175 EG10176
PWY-6620;guanine and guanosine salvage;ppnP xapA deoD hpt gpt;EG12159 G85 EG10222 EG20098 EG10414
PWY0-1324;<i>N</i>-acetylneuraminate and <i>N</i>-acetylmannosamine degradation I;nanK nanA nanE;G7676 EG10637 G7677
PWY-6579;superpathway of guanine and guanosine salvage;gsk ppnP xapA deoD hpt gpt;EG11102 EG12159 G85 EG10222 EG20098 EG10414
PWY0-1587;N<sup>6</sup>-L-threonylcarbamoyladenosine<sup>37</sup>-modified tRNA biosynthesis;tsaC tsaB tsaD tsaE;G7698 G6991 EG11171 EG11757
PWY-6618;guanine and guanosine salvage III;gsk;EG11102
PWY-7892;tRNA-uridine 2-thiolation (bacteria);mnmG mnmE tusD tusC tusB tusE tusA sufS iscS mnmA mnmC;EG10375 EG10997 G7714 G7713 G7712 EG12876 EG12216 G6906 G7325 EG11344 G7199
PWY-6890;4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis;thiC thiD;EG11585 G7135
PWY0-1479;tRNA processing;rne rph rnd rnt rnpA rnpB rbn rnb pnp;EG10859 EG10863 EG10858 EG11547 EG10862 EG30069 G7175 EG11620 EG10743
THISYN-PWY;superpathway of thiamine diphosphate biosynthesis I;thiI thiS fdx sufS iscS thiH thiF dxs thiG thiE thiL thiC thiD;G6238 G1 EG11328 G6906 G7325 EG11590 EG11587 G6237 EG11589 EG11586 G6234 EG11585 G7135
PWY0-1554;5-(carboxymethoxy)uridine biosynthesis;cmoA cmoB;G7020 G7021
PWY-6700;queuosine biosynthesis;queG queA tgt queF;G7843 EG10812 EG10996 G7452
PWY0-1586;peptidoglycan maturation (<i>meso</i>-diaminopimelate containing);ldtD mrcA mrcB ftsI mrdA ldtE dacA dacD dacC yfeW ampH pbpC mtgA;EG11253 EG10748 EG10605 EG10341 EG10606 G6904 EG10201 EG11893 EG10203 G7265 EG12867 G7322 G7668
DAPLYSINESYN-PWY;L-lysine biosynthesis I;dapB lysC asd dapA dapD serC argD dapE lysA dapF;EG10206 EG10550 EG10088 EG10205 EG10207 EG10946 EG10066 EG10208 EG10549 EG10209
PWY-5659;GDP-mannose biosynthesis;cpsB cpsG manA pgi;EG10161 EG10162 EG10566 EG10702
PEPTIDOGLYCANSYN-PWY;peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing);ddlB ddlA murE murI murD murC murF murB murA mraY murG;EG10214 EG10213 EG10621 EG11204 EG10620 EG10619 EG10622 EG11205 EG11358 EG10604 EG10623
PWY-66;GDP-L-fucose biosynthesis I (from GDP-D-mannose);fcl gmd;EG11788 EG11787
PWY0-1391;<i>S</i>-methyl-5'-thioadenosine degradation IV;mtn;EG11090
GLYCLEAV-PWY;glycine cleavage;gcvT gcvH gcvP lpd;EG11442 EG10371 EG11810 EG10543
PWY0-42;2-methylcitrate cycle I;prpB acnB prpD prpC prpE acs;G6196 EG12316 G6199 G6198 G6200 EG11448
PWY-6609;adenine and adenosine salvage III;gpt hpt add ppnP deoD xapA;EG10414 EG20098 EG10030 EG12159 EG10222 G85
PROPIONMET-PWY;propanoyl CoA degradation I;scpA;EG11444
PWY-6611;adenine and adenosine salvage V;gsk add ppnP deoD;EG11102 EG10030 EG12159 EG10222
PWY-6605;adenine and adenosine salvage II;rihC apt;EG11082 EG10051
PPGPPMET-PWY;ppGpp biosynthesis;adk ndk spoT relA gpp;EG10032 EG10650 EG10966 EG10835 EG10413
SALVPURINE2-PWY;xanthine and xanthosine salvage;ppnP xapA gpt;EG12159 G85 EG10414
ARGSYN-PWY;L-arginine biosynthesis I (via L-ornithine);argE gabT argD argC argB argA carA carB argF argI argH argG;EG11286 EG10361 EG10066 EG10065 EG10064 EG10063 EG10134 EG10135 EG10067 EG10069 EG11223 EG10068
ARABCAT-PWY;L-arabinose degradation I;araB araD araA;EG10053 EG10055 EG10052
PWY0-41;allantoin degradation IV (anaerobic);ybcF carA carB allD allE allC allB;EG12384 EG10134 EG10135 G6286 G6284 G6285 G6281
PWY-5698;allantoin degradation to ureidoglycolate II (ammonia producing);allE allC allB;G6284 G6285 G6281
PWY-5837;2-carboxy-1,4-naphthoquinol biosynthesis;menI menB menH menD menF menC menE;G6912 EG11368 EG12438 EG10579 EG12362 EG11532 EG12437
PWY-5705;allantoin degradation to glyoxylate III;allE allC allB allA;G6284 G6285 G6281 G6275
PWY-7980;ATP biosynthesis;atpC atpH atpA atpG atpD atpE atpF atpB;EG10100 EG10105 EG10098 EG10104 EG10101 EG10102 EG10103 EG10099
PWY0-1590;NADH to hydrogen peroxide electron transfer;ccp nuoB nuoC nuoE nuoF nuoG nuoI nuoN nuoM nuoL nuoK nuoJ nuoH nuoA;EG12244 EG12083 EG12084 EG12086 EG11774 EG12087 EG12089 EG12093 EG11773 EG12092 EG12091 EG12090 EG12088 EG12082
PWY0-1337;oleate &beta;-oxidation;fadJ fadB fadM;G7212 EG10279 G6244
PWY0-1591;glycerol-3-phosphate to hydrogen peroxide electron transport;ccp glpC glpB glpA;EG12244 EG10393 EG10392 EG10391
COA-PWY;coenzyme A biosynthesis I (prokaryotic);dfp coaE coaD;EG10004 EG12312 EG11190
TRNA-CHARGING-PWY;tRNA charging;metY metW metV metZ glyT glyW glyV glyY glyU glyX hisR lysQ lysW lysZ lysV lysY lysT metU metT pheV pheU proM proL proK serW serV serU serX serT selC thrU thrT thrW thrV trpT tyrT tyrU tyrV aspV aspU aspT asnW asnV asnU asnT alaU alaX alaT alaW alaV valU valX valT valW valZ valV valY leuP leuU leuX leuT leuW leuQ leuV leuZ ileY ileT ileU ileV ileX gltV gltU gltT gltW glnW glnV glnU glnX cysT argW argZ argV argY argU argX argQ metG glyQ glyS hisS lysS lysU pheT pheS proS serS thrS trpS tyrS aspS asnS alaS valS leuS ileS gltX glnS cysS argS;EG30061 EG31117 EG30060 EG30062 EG30036 EG30039 EG30038 EG30041 EG30037 EG30040 EG30042 G6392 EG30057 G6391 EG30056 G6390 EG30055 EG30059 EG30058 EG30065 EG30064 EG30068 EG30067 EG30066 EG30096 EG30095 EG30094 EG30097 EG30093 EG30092 EG30102 EG30101 EG30104 EG30103 EG30105 EG30106 EG30107 EG30108 EG30025 EG30024 EG30023 G7069 EG30022 EG30021 EG30020 EG30009 EG30012 EG30008 EG30011 EG30010 EG30110 EG30113 EG30109 EG30112 G6389 EG30111 EG30114 EG30047 EG30050 EG30053 EG30049 EG30052 EG30048 EG30051 EG30054 G7387 EG30043 EG30044 EG30045 EG30046 EG30034 EG30033 EG30032 EG30035 EG30030 EG30029 EG30028 EG30031 G7991 EG30016 EG30019 EG30015 EG30018 EG30014 EG30017 EG30013 EG10586 EG10409 EG10410 EG10453 EG10552 EG10553 EG10710 EG10709 EG10770 EG10947 EG11001 EG11030 EG11043 EG10097 EG10094 EG10034 EG11067 EG10532 EG10492 EG10407 EG10390 EG10196 EG10071
PWY-5123;<i>trans, trans</i>-farnesyl diphosphate biosynthesis;idi ispA;G7508 EG10508
FAO-PWY;fatty acid &beta;-oxidation I;fadB fadJ fadE fadK fadD fadI fadA;EG10279 G7212 G6105 EG12357 EG11530 G7213 EG10278
POLYISOPRENSYN-PWY;polyisoprenoid biosynthesis (<i>E. coli</i>);ispB pgpB ybjG bacA uppS idi ispA;EG10017 EG10705 G6439 EG11665 G6092 G7508 EG10508
SORBDEG-PWY;D-sorbitol degradation II;srlD;EG10971
PWY-5783;octaprenyl diphosphate biosynthesis;ispB;EG10017
GALACTITOLCAT-PWY;galactitol degradation;gatA gatB gatC gatD gatZ gatY kbaZ kbaY pfkB;EG12414 EG12415 EG12416 EG12417 G7128 EG12419 G7631 EG12768 EG10700
PWY-5785;di-<i>trans</i>,poly-<i>cis</i>-undecaprenyl phosphate biosynthesis;pgpB ybjG bacA uppS;EG10705 G6439 EG11665 G6092
HEXITOLDEGSUPER-PWY;superpathway of hexitol degradation (bacteria);gpmA phoA yggF ybhA glpX fbp ppsA pfkA pfkB fbaB fbaA tpiA gapA pgk gpmM eno pykF pykA gatA gatB gatC gatD gatZ gatY kbaZ kbaY srlD mtlD;EG11699 EG10727 EG11245 EG11239 EG11517 EG10283 EG10759 EG10699 EG10700 G7129 EG10282 EG11015 EG10367 EG10703 EG12296 EG10258 EG10804 EG10803 EG12414 EG12415 EG12416 EG12417 G7128 EG12419 G7631 EG12768 EG10971 EG10616
MANNIDEG-PWY;mannitol degradation I;mtlD;EG10616
GLUCONEO-PWY;gluconeogenesis I;tpiA maeB maeA ppsA mdh pck eno gpmM pgk gapA fbaB fbaA yggF ybhA glpX fbp pgi;EG11015 G7293 EG10948 EG10759 EG10576 EG10688 EG10258 EG12296 EG10703 EG10367 G7129 EG10282 EG11245 EG11239 EG11517 EG10283 EG10702
HISTSYN-PWY;L-histidine biosynthesis;hisG hisI hisA hisF hisH hisB hisC hisD;EG10449 EG10451 EG10444 EG10448 EG10450 EG10445 EG10446 EG10447
PWY0-461;L-lysine degradation I;lhgD glaH gabT puuE gabD sad patD patA ldcC cadA;EG12387 G7394 EG10361 G6646 EG11329 G6811 G6755 G7596 G6094 EG10131
PWY-5340;sulfate activation for sulfonation;cysC cysN cysD;EG10185 EG10194 EG10186
PWY-6608;guanosine nucleotides degradation III;ppnP xapA deoD xdhC xdhB xdhA yrfG umpG umpH aphA guaD;EG12159 G85 EG10222 G7487 G7486 G7485 G7742 EG11817 EG10634 EG11934 G7502
PANTO-PWY;phosphopantothenate biosynthesis I;coaA panB ilvC panE panC;EG10922 EG11675 EG10495 G6239 EG11746
PWY-6147;6-hydroxymethyl-dihydropterin diphosphate biosynthesis I;folE nudB folB folK;EG11375 EG11138 EG11673 EG11374
PWY-6823;molybdenum cofactor biosynthesis;moaC sufS iscS ynjE moeB moeA mog moaE moaD moaA;EG11666 G6906 G7325 G6952 EG10154 EG10153 EG11511 EG11598 EG11597 EG11595
ASPARAGINE-DEG1-PWY;L-asparagine degradation I;iaaA ansA ansB;EG12407 EG10045 EG10046
